manufacturer_id,name
271,"FARMER TRACTOR, METODA G.I.D.C."
272,FARMTECH AGRO INDUSTRIES
273,FAYAZ ENGINEERING WORKS
274,FCA INDIA AUTOMOBILES PRIVATE LIMITED
275,FIADO INDUSTRIES PVT LTD
276,FIELD MARSHAL
277,FORCE MOTORS LIMITED
278,FORD INDIA PVT LTD
279,FOREX FASTNERS (P) LTD AGRO DIVISION
280,FOTON MOTORS MANUFACTURING INDIA PVT LTD
281,FRIENDS AGRO INDUSTRIES
282,G K AGRO INDUSTRIES
283,G L N ENGINEERING & REWINDIES
284,G N ENTERPRISES
285,G S ENGINEERING WORKS
286,GAHIR AGRO INDUSTRIES LIMITED
287,GAJANAND AGRO INDUSTRIES
288,GAMZEN PLAST PVT LTD
289,GANESH AGRO INDUSTRIES
290,GANRAJ AGRO INDUSTRIES
291,GAYATHRY AGRO TRAILORS
292,GAYATRI AGRO INDUSTRIES
293,GAYATRI ENGINEERING WORKS
294,GEMAG CONSTRUCTION MACHINARY
295,GENERAL MOTORS INDIA PVT LTD
296,GILL AGRICULTURE WORKS
297,GIRI ENGG WORKS
298,GIRNAR SCOOTERS LTD
299,GLN ENG AND REWNDNG ELECTRICAL
300,GLOBAL AUTOMOBILES PVT LTD
301,GODREJ & BOYCE MFG. CO. LTD
302,GODREJ AND BOYCE MFG CO LTD
303,GOEL TEMPO PRIVATE LIMITED
304,GOPAL BROTHERS AGRICULTURAL WORKS
305,GOPAL ENGG. WORKS
306,GOPAL TRAILER AND FABRICATORS
307,GOTTWALD
308,GOWTHAMAN TRAILERS
309,GREAT AUTOMOTIVE LIMITED
310,GREAVES COTTON LTD.
311,GREAVES INDIA PVT LTD
312,GREEN FIELD FARM EQPMTS PVT LTD
313,GROVE INDIA PVT LTD
314,GUANGXI LIUGONG MACHINERY CO LTD
315,GUJARAT NARMADA AUTO LTD
316,GUJARAT TRACTOR CORP LTD
317,GURDEEP ENGINEERING WORKS
318,GURMUKH AGRO INDUSTRIES
319,GURU TRAILER
320,GURUDEV ENGG WORKS
321,GURUKRAPA ENGINEERING WORKS
322,GURUKRIPA STEEL FABRICATORS
323,GURUNANAK INDUSTRIES PVT LTD
324,H M G ENGINEERING WORKS
325,H-D MOTOR COMPANY INDIA PVT LTD
326,H.M.S.I. PVT. LTD.
327,HAIFE HASSAN
328,HAJEE HATLE ENGG.WORKS
329,HAKIKAT AUTO IND
330,HANUMAN AGRO INDUSTRIES
331,HARESH STEEL AGRO INDUSTRIES
